Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
0,1.8E-4,1.5E-4
1,1.8E-4,1.5E-4
2,1.8E-4,1.5E-4
3,1.8E-5,1.0E-5
4,1.8E-5,1.0E-5
5,5.4E-4,3.0E-4
6,5.4E-4,3.0E-4
7,0.00108,0.00298
8,0.00108,0.00298
9,0.00108,0.00298
10,1.1700000000000001E-4,8.999999999999999E-5
11,1.1700000000000001E-4,8.999999999999999E-5
12,1.35E-4,1.7E-4
13,1.35E-4,1.7E-4
14,1.35E-4,1.7E-4
15,0.0022500000000000003,0.001
16,0.0022500000000000003,0.001
17,0.00315,0.001
18,0.00315,0.001
19,0.028259999999999997,0.0028
20,0.028259999999999997,0.0028
21,0.028259999999999997,0.0028
22,0.02448,0.0024
23,0.02448,0.0024
24,0.02448,0.0024
25,0.00801,0.0011
26,0.00801,0.0011
27,0.016470000000000002,0.0013000000000000002
28,0.016470000000000002,0.0013000000000000002
29,0.02448,0.004900000000000001
30,0.02448,0.004900000000000001
31,0.02448,0.004900000000000001
32,0.02448,0.004900000000000001
33,0.02448,0.004900000000000001
34,0.02448,0.004900000000000001
35,0.02448,0.004900000000000001
36,0.02448,0.004900000000000001
37,0.02448,0.004900000000000001
38,0.02448,0.004900000000000001
39,0.02448,0.004900000000000001
40,0.02448,0.004900000000000001
41,0.0243,0.005
42,0.0243,0.005
43,0.0243,0.005
44,0.0243,0.005
45,0.0243,0.005
46,0.0243,0.005
47,0.0243,0.005
48,0.0243,0.005
49,0.0243,0.005
50,0.0243,0.005
51,0.0243,0.005
52,0.0243,0.005
53,0.0243,0.005
54,0.0243,0.005
55,0.0243,0.005
56,0.0243,0.005
57,0.0243,0.005
58,0.0243,0.005
59,0.0243,0.005
60,0.0243,0.005
61,0.0243,0.005
62,0.0135,0.002
63,0.0135,0.002
64,0.0135,0.002
65,0.0135,0.002
66,0.0135,0.002
67,0.0135,0.002
68,0.0135,0.002
69,0.0135,0.002
70,0.0135,0.002
71,0.0135,0.002
72,0.014129999999999998,0.00145
73,0.014129999999999998,0.00145
74,0.014129999999999998,0.00145
75,0.014129999999999998,0.00145
76,0.028259999999999997,0.0028
77,0.028259999999999997,0.0028
78,0.028259999999999997,0.0028
79,0.028259999999999997,0.0028
80,0.028259999999999997,0.0028
81,0.028259999999999997,0.0028
82,0.028259999999999997,0.0028
83,0.028259999999999997,0.0028
84,0.028259999999999997,0.0028
85,0.028259999999999997,0.0028
86,0.028259999999999997,0.0028
87,0.028259999999999997,0.0028
88,0.028259999999999997,0.0028
89,0.028259999999999997,0.0028
90,0.0049499999999999995,0.0025
91,0.0049499999999999995,0.0025
92,0.0049499999999999995,0.0025
93,0.0049499999999999995,0.0025
94,0.0049499999999999995,0.0025
95,0.0049499999999999995,0.0025
