Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
10727947,30423,736460,122113,37006,1575.5809,1575.5809,0.0,0.0,1200.9366,144.0594,7.0501885,0.1527053,223.38202
21943358,61337,1614407,181807,26004,1386.3452,1386.3452,0.0,0.0,961.9514,240.36942,2.2801483,0.13221847,181.61198
34757138,92508,2331262,233097,20882,1496.2472,1496.2472,0.0,0.0,913.0503,358.10992,2.259277,0.15589662,222.67177
48940220,123652,2926210,272307,17385,1609.0605,1609.0605,0.0,0.0,929.6096,445.91226,2.9291558,0.18143712,230.42805
62042161,154778,3448494,304124,15166,1680.0272,1680.0272,0.0,0.0,947.8216,499.8605,4.1940007,0.18845448,227.96265
76474507,185873,3875049,329425,13799,1713.3418,1713.3418,0.0,0.0,961.6742,522.5759,5.0026665,0.18910408,223.8999
89697980,217064,4255665,351587,12038,1724.4434,1724.4434,0.0,0.0,964.6285,532.1402,5.366761,0.18711841,222.12074
101692058,248168,4576322,370208,10885,1725.0852,1725.0852,0.0,0.0,961.7558,535.7966,5.5804124,0.19570102,221.75677
114187692,279300,4883822,388104,9972,1719.895,1719.895,0.0,0.0,958.254,534.20447,5.8383102,0.19852987,221.39961
127892256,310336,5144376,403371,9041,1712.5366,1712.5366,0.0,0.0,953.87256,532.2904,5.9300323,0.20143954,220.24225
139871816,341408,5386916,416933,8678,1703.8107,1703.8107,0.0,0.0,949.7095,528.9346,5.7953486,0.20326643,219.16798
154032125,372587,5625906,430401,8036,1693.0399,1693.0399,0.0,0.0,943.9636,524.9202,5.7874565,0.20971528,218.15884
168241961,403744,5851303,442635,7899,1682.6954,1682.6954,0.0,0.0,937.92865,521.49603,5.7930617,0.208665,217.26907
