Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (52 parents),Rupture Rate Minimization,Uncertain MFD Equality
12248384,31020,543740,66666,23687,3930.7551,3930.7551,0.0,0.0,2677.1133,200.51022,69.76366,0.14773153,983.22003
25268665,61970,1148671,89377,14598,4079.4033,4079.4033,0.0,0.0,2919.9333,333.23425,42.18835,0.17800212,783.8694
39335714,93172,1553106,106649,10435,4409.9683,4409.9683,0.0,0.0,2948.5151,475.8872,37.82232,0.18351646,947.56006
53050104,124320,1852967,119276,8031,4617.811,4617.811,0.0,0.0,2934.1597,609.1563,37.42836,0.19190036,1036.8746
64845891,155485,2073360,128004,6983,4732.1772,4732.1772,0.0,0.0,2916.2551,714.5355,35.793247,0.19940145,1065.3942
78897494,186635,2266307,135349,5957,4786.41,4786.41,0.0,0.0,2892.7031,796.1427,34.865788,0.20463735,1062.494
91890307,217776,2443456,141961,5221,4811.486,4811.486,0.0,0.0,2873.8613,849.2717,34.19291,0.21680638,1053.943
106393126,248964,2597731,147943,4256,4823.538,4823.538,0.0,0.0,2861.5225,883.50494,33.524635,0.2309807,1044.7552
120328896,280052,2726359,152887,3838,4824.97,4824.97,0.0,0.0,2848.1802,905.3585,33.174976,0.25106406,1038.0057
135543577,311191,2838747,157109,3608,4821.1006,4821.1006,0.0,0.0,2839.8164,915.03503,32.87867,0.26030797,1033.1104
149570149,342305,2938572,160791,3284,4813.933,4813.933,0.0,0.0,2833.6028,921.536,32.632496,0.28970477,1025.8721
163387372,373375,3029168,164101,3037,4802.7534,4802.7534,0.0,0.0,2822.576,924.26953,32.46153,0.31446937,1023.1321
179090011,404508,3117253,167263,2839,4794.947,4794.947,0.0,0.0,2820.1404,923.03595,32.415478,0.33653855,1019.0184
192782616,435628,3195662,170111,2679,4782.5923,4782.5923,0.0,0.0,2816.3984,917.383,32.286713,0.34501994,1016.1793
203761580,466759,3258506,172412,2453,4773.5347,4773.5347,0.0,0.0,2815.5862,912.77454,32.23227,0.35224912,1012.5892
218746773,497899,3326603,174890,2355,4762.0757,4762.0757,0.0,0.0,2811.6028,908.3069,32.09632,0.37106895,1009.6986
233371655,528971,3395177,177305,2247,4753.492,4753.492,0.0,0.0,2807.661,905.4857,31.983488,0.37673825,1007.98535
248894179,560063,3460959,179597,2210,4746.34,4746.34,0.0,0.0,2805.7532,902.3634,31.880604,0.377657,1005.9651
261335943,591244,3517547,181535,2095,4739.0786,4739.0786,0.0,0.0,2802.887,900.0886,31.886578,0.3790118,1003.83734
274077668,622331,3576575,183645,2017,4732.816,4732.816,0.0,0.0,2800.0054,897.22375,31.694101,0.38138494,1003.51105
287590916,653503,3636191,185746,1911,4727.512,4727.512,0.0,0.0,2797.2537,894.24634,31.752163,0.38536966,1003.87476
299231383,684634,3687781,187456,1911,4723.989,4723.989,0.0,0.0,2796.645,892.7284,31.814466,0.38684565,1002.414
314660539,715731,3743953,189361,1857,4718.714,4718.714,0.0,0.0,2795.4238,891.3688,31.578047,0.38904825,999.9543
328621595,746879,3799017,191249,1738,4713.744,4713.744,0.0,0.0,2792.5742,889.5457,31.611055,0.39341933,999.62
343765924,777932,3845883,192852,1777,4711.351,4711.351,0.0,0.0,2791.484,889.002,31.660889,0.395069,998.809
355024207,809091,3887353,194242,1684,4708.124,4708.124,0.0,0.0,2790.1692,887.4584,31.53713,0.39804494,998.561
367601726,840203,3933979,195814,1633,4705.041,4705.041,0.0,0.0,2787.328,886.8236,31.519701,0.39904502,998.9708
381608571,871319,3981357,197369,1662,4703.595,4703.595,0.0,0.0,2786.1418,886.88495,31.582415,0.4041596,998.5817
395885907,902479,4028673,198852,1620,4700.62,4700.62,0.0,0.0,2784.1711,886.0502,31.602922,0.4159208,998.38007
410784337,933504,4072952,200279,1542,4698.8926,4698.8926,0.0,0.0,2782.4841,885.7633,31.520662,0.41732448,998.7073
423319276,964608,4115088,201542,1580,4697.4414,4697.4414,0.0,0.0,2781.8567,885.3648,31.58041,0.42221844,998.2173
437535571,995677,4158697,202901,1529,4695.5347,4695.5347,0.0,0.0,2780.7952,884.4891,31.535276,0.42436436,998.2911
452147674,1026807,4199851,204148,1503,4693.8794,4693.8794,0.0,0.0,2780.2646,883.81177,31.521309,0.42760968,997.854
467076301,1057934,4242117,205396,1447,4691.4307,4691.4307,0.0,0.0,2779.7305,882.69,31.441305,0.42992923,997.13904
481060008,1089076,4283166,206585,1439,4689.0845,4689.0845,0.0,0.0,2778.9849,882.0548,31.392689,0.43149024,996.22034
494788890,1120196,4322923,207836,1402,4687.2896,4687.2896,0.0,0.0,2777.5974,882.01807,31.418985,0.43118915,995.82404
509390890,1151291,4363737,209101,1416,4686.0503,4686.0503,0.0,0.0,2777.1958,881.4545,31.33299,0.4316173,995.6354
524487497,1182403,4404583,210340,1400,4684.4097,4684.4097,0.0,0.0,2776.9353,880.6274,31.442919,0.43255514,994.97144
535007046,1213503,4436777,211315,1371,4682.3647,4682.3647,0.0,0.0,2776.2761,879.72095,31.38512,0.43146375,994.551
546228807,1244599,4467647,212203,1338,4681.0273,4681.0273,0.0,0.0,2775.479,879.64484,31.29994,0.43249077,994.17084
557234054,1275703,4497693,213044,1360,4679.8765,4679.8765,0.0,0.0,2775.0818,878.89874,31.277473,0.43207222,994.18646
569688051,1306859,4527462,213916,1341,4678.8296,4678.8296,0.0,0.0,2775.1082,878.0506,31.279278,0.433008,993.95825
583283784,1338079,4558906,214810,1296,4677.487,4677.487,0.0,0.0,2774.9421,877.11786,31.298578,0.43439934,993.6939
595562409,1369236,4591331,215769,1326,4675.9927,4675.9927,0.0,0.0,2775.0647,876.39655,31.2832,0.43484178,992.8136
607590302,1400427,4623673,216671,1287,4674.2407,4674.2407,0.0,0.0,2774.6018,876.1824,31.301605,0.43524775,991.7196
618779235,1431485,4653617,217515,1318,4672.6665,4672.6665,0.0,0.0,2773.6238,875.71967,31.334595,0.433908,991.5543
629841827,1462608,4681906,218273,1264,4671.921,4671.921,0.0,0.0,2772.7183,875.37006,31.393711,0.4334421,992.00525
642269179,1493727,4712605,219105,1268,4671.166,4671.166,0.0,0.0,2772.9592,874.71796,31.337677,0.4318614,991.7192
653227314,1524848,4741732,219947,1254,4670.247,4670.247,0.0,0.0,2772.7195,874.46515,31.311249,0.4319565,991.3194
664908116,1555984,4771573,220774,1186,4669.456,4669.456,0.0,0.0,2772.0676,874.36646,31.272394,0.43232533,991.31757
675603191,1587148,4799652,221553,1219,4668.6255,4668.6255,0.0,0.0,2772.1284,873.9271,31.222872,0.43254563,990.9145
688818085,1618315,4829752,222376,1215,4667.5366,4667.5366,0.0,0.0,2772.1113,873.2942,31.21975,0.4329016,990.4786
701112608,1649422,4860426,223222,1198,4666.473,4666.473,0.0,0.0,2771.1328,873.17035,31.182947,0.43331385,990.55334
715883402,1680575,4893093,224118,1206,4666.065,4666.065,0.0,0.0,2770.8147,873.07367,31.242785,0.43484843,990.49884
731317032,1711719,4927303,225087,1180,4665.3184,4665.3184,0.0,0.0,2770.8318,872.6374,31.19303,0.43508333,990.2214
745716729,1742819,4957600,225897,1201,4664.4297,4664.4297,0.0,0.0,2770.3608,872.1381,31.194258,0.4334581,990.30304
759554277,1773939,4990411,226814,1182,4663.994,4663.994,0.0,0.0,2770.5437,871.8732,31.14081,0.43371204,990.00256
772789611,1805159,5019333,227573,1138,4662.885,4662.885,0.0,0.0,2769.9678,871.5449,31.124952,0.43430188,989.8128
786586731,1836310,5047998,228375,1167,4662.3306,4662.3306,0.0,0.0,2769.8652,871.52734,31.135473,0.43413448,989.3685
800294445,1867427,5078731,229190,1139,4661.475,4661.475,0.0,0.0,2769.5925,871.4404,31.183336,0.4342654,988.8242
815120303,1898448,5108083,230012,1130,4660.596,4660.596,0.0,0.0,2768.9639,871.2994,31.176105,0.43473375,988.7222
