Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
8848327,30445,456610,74290,25042,3470.3071,3470.3071,0.0,0.0,2147.0945,192.06555,9.282135,0.09482929,1121.7701
20278845,61476,1020816,101429,18811,4499.1455,4499.1455,0.0,0.0,2951.7197,441.739,2.3250694,0.13295798,1103.2288
31367865,92654,1477248,122094,12698,5221.0854,5221.0854,0.0,0.0,3384.8625,833.3576,2.9441397,0.21183269,999.7095
41600588,123850,1784903,135750,10254,5586.9634,5586.9634,0.0,0.0,3347.7017,1179.1874,5.579894,0.23631196,1054.258
53466523,154987,2066517,146755,9249,5894.8506,5894.8506,0.0,0.0,3325.5662,1444.6011,9.185672,0.2995359,1115.198
66491706,186190,2313494,155266,7836,6127.7993,6127.7993,0.0,0.0,3340.0483,1611.9867,13.151191,0.3554997,1162.2579
77984742,217294,2505360,161516,6979,6269.9185,6269.9185,0.0,0.0,3356.5989,1699.9513,15.945126,0.36828256,1197.0549
88519580,248407,2674013,166943,5697,6339.7603,6339.7603,0.0,0.0,3387.769,1719.3837,18.547756,0.4101616,1213.6495
99470906,279530,2803546,171370,4667,6353.983,6353.983,0.0,0.0,3395.2573,1717.1606,19.000418,0.42781794,1222.1367
109999865,310602,2908616,175074,4286,6351.003,6351.003,0.0,0.0,3406.0835,1704.0104,19.255756,0.44561037,1221.2079
120924159,340945,3003831,178621,3740,6330.6406,6330.6406,0.0,0.0,3411.0715,1682.3698,19.13758,0.48141387,1217.5801
133126077,372175,3097561,181899,3653,6299.706,6299.706,0.0,0.0,3411.0415,1655.3528,19.198278,0.50685203,1213.6066
148418253,403344,3192902,185347,3187,6267.4526,6267.4526,0.0,0.0,3412.155,1628.1448,19.0511,0.5203567,1207.5815
162139065,434492,3277169,188541,2742,6239.3223,6239.3223,0.0,0.0,3412.3247,1607.2673,18.6935,0.52303505,1200.5135
174729661,465609,3352331,191430,2633,6215.203,6215.203,0.0,0.0,3410.1794,1590.3501,18.57975,0.5309814,1195.5627
188741349,496772,3425015,194138,2423,6196.193,6196.193,0.0,0.0,3407.9216,1577.4076,18.281055,0.5403526,1192.0422
201662369,527845,3492188,196683,2326,6180.3706,6180.3706,0.0,0.0,3404.2812,1568.4194,17.989466,0.54095674,1189.1396
215108053,558960,3555796,199087,2267,6168.409,6168.409,0.0,0.0,3401.8582,1560.782,17.84371,0.54432493,1187.3811
226269236,590105,3614341,201163,2199,6158.6445,6158.6445,0.0,0.0,3399.6113,1555.794,17.834726,0.55304635,1184.8517
239340264,621248,3677401,203426,2143,6149.649,6149.649,0.0,0.0,3395.536,1551.242,17.798998,0.5595657,1184.5126
251654610,652404,3732794,205372,2000,6144.3423,6144.3423,0.0,0.0,3394.1226,1548.6157,17.71269,0.5699443,1183.3212
264455733,683524,3787471,207307,1964,6138.421,6138.421,0.0,0.0,3394.221,1544.3258,17.735136,0.57550776,1181.5635
276683010,714561,3834904,208963,1930,6132.707,6132.707,0.0,0.0,3391.9436,1541.0322,17.884062,0.58175576,1181.2653
288884061,745690,3879595,210458,1928,6128.3745,6128.3745,0.0,0.0,3391.3657,1538.9397,17.912945,0.58237135,1179.5741
299933378,776811,3923588,211875,1844,6123.2905,6123.2905,0.0,0.0,3389.3206,1536.0575,17.729445,0.5824938,1179.6007
314021954,807124,3972641,213459,1787,6119.3315,6119.3315,0.0,0.0,3388.885,1534.6042,17.60287,0.5824722,1177.657
326660216,838240,4019222,215014,1812,6114.993,6114.993,0.0,0.0,3388.2144,1530.7476,17.548906,0.5813597,1177.9011
338462938,868533,4062937,216363,1792,6111.7007,6111.7007,0.0,0.0,3387.0195,1529.7273,17.377687,0.5818455,1176.994
351250234,899676,4108922,217865,1683,6108.039,6108.039,0.0,0.0,3386.7983,1527.4343,17.358252,0.58196795,1175.8663
364840889,930808,4154808,219342,1748,6104.2876,6104.2876,0.0,0.0,3387.2852,1524.4349,17.433382,0.5836129,1174.5504
377695568,961913,4195957,220784,1614,6100.4004,6100.4004,0.0,0.0,3386.7131,1522.3307,17.500977,0.58299357,1173.2726
391012878,993016,4238726,222137,1672,6097.094,6097.094,0.0,0.0,3385.1016,1520.0923,17.561798,0.5837359,1173.7546
406197111,1024169,4285829,223692,1591,6094.411,6094.411,0.0,0.0,3383.9355,1519.4673,17.629036,0.5844095,1172.7949
418379317,1055320,4327937,225028,1606,6092.244,6092.244,0.0,0.0,3383.1265,1517.407,17.67598,0.5850984,1173.4495
431044638,1086420,4366484,226190,1585,6090.4897,6090.4897,0.0,0.0,3383.8547,1516.7344,17.719055,0.58415943,1171.5974
443836318,1117512,4404462,227369,1570,6086.894,6086.894,0.0,0.0,3382.9514,1514.5474,17.651024,0.58719397,1171.157
457052477,1148621,4446635,228594,1616,6084.1953,6084.1953,0.0,0.0,3382.2646,1512.6436,17.692453,0.5863074,1171.0084
469932673,1179728,4486060,229759,1577,6082.2515,6082.2515,0.0,0.0,3382.106,1511.27,17.589668,0.5863756,1170.6992
481802877,1210837,4525619,230973,1527,6079.899,6079.899,0.0,0.0,3380.69,1510.1494,17.571997,0.5859639,1170.9017
493553098,1242016,4562100,231993,1494,6078.465,6078.465,0.0,0.0,3380.0078,1509.4873,17.652172,0.5862409,1170.7311
506290522,1273128,4597716,233083,1488,6076.895,6076.895,0.0,0.0,3378.9895,1508.7698,17.592182,0.58644056,1170.9573
517899124,1304246,4632669,234069,1487,6075.9116,6075.9116,0.0,0.0,3379.9065,1507.751,17.653967,0.58694476,1170.0133
530723843,1335409,4668290,235171,1450,6073.8823,6073.8823,0.0,0.0,3379.2363,1506.309,17.632277,0.58742255,1170.1174
544864037,1365773,4707476,236305,1421,6072.9014,6072.9014,0.0,0.0,3378.6724,1505.9088,17.576027,0.5860699,1170.1578
