Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
9351757,30286,526159,82156,27645,2633.5503,2633.5503,0.0,0.0,1902.381,166.75365,3.0235064,0.15885164,561.2333
21636217,61107,1277277,129009,19653,2460.1243,2460.1243,0.0,0.0,1644.6459,296.0823,1.4421754,0.16530983,517.7886
34298662,92298,1844877,162989,15708,2856.1016,2856.1016,0.0,0.0,1677.7587,515.9582,2.3638353,0.14960924,659.87134
47767017,123460,2287544,186979,12491,3137.8728,3137.8728,0.0,0.0,1673.6171,709.3201,4.5686193,0.16212666,750.20483
61261104,154581,2671259,204821,11356,3310.0962,3310.0962,0.0,0.0,1682.3396,824.66864,6.4704,0.18869257,796.4288
75131223,185768,3000199,219075,9395,3396.813,3396.813,0.0,0.0,1701.4008,866.2206,8.044522,0.2156749,820.93146
89203262,216936,3279028,231356,8330,3422.361,3422.361,0.0,0.0,1715.641,870.0631,8.316799,0.22019573,828.1199
101863669,248048,3498984,241135,7802,3410.9304,3410.9304,0.0,0.0,1706.7601,867.6832,8.16904,0.22618753,828.09174
115015580,279135,3696128,249622,7006,3390.6125,3390.6125,0.0,0.0,1697.7657,860.67145,8.478531,0.22916584,823.4677
128580355,310252,3873783,257250,5870,3363.762,3363.762,0.0,0.0,1685.5933,851.4808,8.393669,0.23643084,818.05774
140531281,340555,4027046,263939,5465,3341.8562,3341.8562,0.0,0.0,1674.1562,845.2557,8.30694,0.24586973,813.89154
153267296,371718,4168524,270194,5224,3319.936,3319.936,0.0,0.0,1664.8743,837.9557,8.260277,0.2574713,808.5883
164779201,402823,4308319,276154,4976,3299.1375,3299.1375,0.0,0.0,1655.4941,832.1262,8.26231,0.25491863,802.9999
176791892,434050,4430190,281327,4677,3286.5886,3286.5886,0.0,0.0,1650.5695,828.17505,8.265999,0.26043284,799.3177
