Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
0,0.00106875,5.0237E-4
1,8.595E-4,4.8141000000000004E-4
2,5.625000000000001E-4,4.2330000000000004E-4
3,2.655E-4,6.518000000000001E-5
4,2.655E-4,6.518000000000001E-5
5,0.0013725,5.8208E-4
6,0.0013725,5.8208E-4
7,6.3E-4,0.0013012
8,8.100000000000001E-4,0.0014668
9,8.100000000000001E-4,0.0016880999999999999
10,1.7550000000000004E-4,2.8214E-4
11,3.2399999999999996E-4,3.3337E-4
12,5.175000000000001E-4,4.5609E-4
13,8.100000000000001E-4,4.8052E-4
14,0.0014625000000000003,5.1915E-4
15,9.450000000000002E-4,7.723E-4
16,7.65E-4,7.782900000000001E-4
17,4.275E-4,5.4012E-4
18,4.275E-4,5.4012E-4
19,0.024554700000000002,0.0013961
20,0.016965,0.0013082
21,0.016875,0.001286
22,0.018315000000000005,0.0014788
23,0.018225,0.0013999
24,0.018045000000000002,0.001242
25,0.01737,0.0020365
26,0.016290000000000002,0.0019171000000000001
27,0.0027900000000000004,0.001341
28,0.00477,0.0013895
29,0.022455,0.0013088
30,0.02223,0.001059
31,0.022275000000000003,9.093700000000001E-4
32,0.022725000000000002,9.3455E-4
33,0.023085,0.0011683
34,0.024704999999999998,0.0011403000000000001
35,0.0257247,0.0012134000000000001
36,0.025821,0.0013080000000000001
37,0.0261,0.0010609
38,0.026234999999999998,0.0011359
39,0.026415,0.0011799
40,0.025965000000000002,0.0011214
41,0.022432500000000005,6.8372E-4
42,0.0218475,5.723000000000001E-4
43,0.022432500000000005,5.741699999999999E-4
44,0.022185,5.4619E-4
45,0.022297499999999998,5.4195E-4
46,0.0225225,5.275400000000001E-4
47,0.0227475,5.1313E-4
48,0.0254925,5.310200000000001E-4
49,0.026752500000000002,5.2447E-4
50,0.0274725,5.372900000000001E-4
51,0.027427500000000004,5.2362E-4
52,0.027270000000000003,5.4272E-4
53,0.0271125,5.6181E-4
54,0.0269775,5.195E-4
55,0.026752500000000002,5.320500000000001E-4
56,0.026032500000000004,5.1252E-4
