Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (52 parents),Rupture Rate Minimization,Uncertain MFD Equality
10791926,30257,562834,68817,26813,3147.3416,3147.3416,0.0,0.0,2299.0486,195.84131,66.35142,0.22534917,585.8749
22252946,61117,1264230,100959,20019,2678.194,2678.194,0.0,0.0,1951.9375,282.26944,47.15159,0.1679232,396.66757
35914224,92265,1789260,127754,12644,2632.5103,2632.5103,0.0,0.0,1788.4352,399.5567,39.37083,0.20786661,404.93964
48869761,123388,2145577,146219,10596,2679.8857,2679.8857,0.0,0.0,1712.648,523.0899,37.51027,0.23314555,406.40457
61554025,154487,2443593,160716,9155,2736.546,2736.546,0.0,0.0,1671.0378,631.82263,35.480824,0.25239006,397.9523
75613241,185631,2725829,173812,7691,2783.9055,2783.9055,0.0,0.0,1643.9613,716.16437,33.909523,0.2746035,389.59583
88853353,216763,2943429,183672,6585,2837.7065,2837.7065,0.0,0.0,1637.7408,781.0152,31.647167,0.31060907,386.9927
103413563,247150,3145294,192657,6064,2871.579,2871.579,0.0,0.0,1636.137,817.8256,29.522745,0.3346564,387.75916
115314702,278296,3320063,200186,5800,2889.8335,2889.8335,0.0,0.0,1634.3481,836.8895,27.764671,0.3600873,390.47095
127455759,309395,3475079,206859,5372,2895.8687,2895.8687,0.0,0.0,1630.993,845.5492,26.475163,0.38840267,392.46277
140114068,340534,3620837,212984,4944,2892.4397,2892.4397,0.0,0.0,1627.3375,847.06537,25.2814,0.40198693,392.3533
153102899,371570,3752671,218603,4609,2884.4304,2884.4304,0.0,0.0,1621.4365,845.1152,24.359674,0.4295238,393.08942
165834539,401861,3868793,223513,4334,2876.4988,2876.4988,0.0,0.0,1617.393,841.3028,23.617296,0.4472654,393.73856
178136031,433018,3989879,228733,3754,2866.8633,2866.8633,0.0,0.0,1613.078,835.91797,23.173178,0.45832247,394.2358
190936335,464155,4098812,233454,3582,2858.6274,2858.6274,0.0,0.0,1610.0906,830.96857,22.695831,0.47967803,394.39285
205239411,495242,4200700,237828,3400,2849.5308,2849.5308,0.0,0.0,1606.7307,825.4685,22.246054,0.4857662,394.59976
218800663,526375,4296023,241922,3329,2842.3098,2842.3098,0.0,0.0,1602.3136,822.65125,21.97021,0.49381295,394.88092
231493949,557414,4389044,245857,3017,2836.9883,2836.9883,0.0,0.0,1599.6099,820.3238,21.636852,0.4933662,394.92432
245007374,588546,4474884,249480,3019,2831.6138,2831.6138,0.0,0.0,1598.0918,817.23615,21.347641,0.49871767,394.43945
257735896,619698,4558124,252774,2980,2825.1614,2825.1614,0.0,0.0,1596.0632,813.62933,21.156002,0.50427413,393.8086
271737193,650858,4638775,256107,2868,2819.5056,2819.5056,0.0,0.0,1593.2786,811.30145,20.899408,0.50549185,393.52075
286490396,681982,4717406,259290,2694,2814.8027,2814.8027,0.0,0.0,1591.4193,808.89154,20.565702,0.5061389,393.4199
300096706,713021,4791492,262262,2589,2810.6606,2810.6606,0.0,0.0,1590.1088,806.4425,20.462852,0.5059569,393.14056
313017189,744122,4864979,265093,2656,2805.664,2805.664,0.0,0.0,1588.3717,803.6869,20.404366,0.50459176,392.6965
326352604,775235,4931559,267683,2533,2801.744,2801.744,0.0,0.0,1586.2859,801.7848,20.166168,0.5086417,392.9984
338414193,806178,5000414,270311,2470,2799.2827,2799.2827,0.0,0.0,1585.4661,800.6218,19.9892,0.5081462,392.69745
351281126,837314,5070636,272949,2427,2796.2388,2796.2388,0.0,0.0,1583.1176,800.0486,19.839016,0.5075302,392.7262
364285734,868458,5135307,275385,2346,2794.6282,2794.6282,0.0,0.0,1582.0448,798.8179,19.698513,0.50701916,393.55997
376497125,898826,5197541,277851,2334,2793.846,2793.846,0.0,0.0,1580.5327,798.81116,19.544708,0.5068981,394.45062
390312996,929850,5258953,280139,2256,2792.5469,2792.5469,0.0,0.0,1579.9481,798.2577,19.407223,0.50684816,394.427
402683023,960959,5318828,282389,2284,2790.8335,2790.8335,0.0,0.0,1578.9535,798.03296,19.334272,0.5086265,394.0041
415709838,992099,5381136,284715,2205,2788.9453,2788.9453,0.0,0.0,1577.4928,797.91455,19.296951,0.5086562,393.73236
