Section Index,Slip Rate (m/yr),Slip Rate Standard Deviation (m/yr)
0,2.067999914288521E-6,0.0
1,0.0017327749729156494,0.0
2,4.645810127258301E-4,0.0
3,2.0974000915884972E-5,0.0
4,0.008012960433959961,0.0
5,0.0069935240745544434,0.0
6,0.0051319398880004885,0.0
7,0.001554590940475464,0.0
8,5.037999898195267E-5,0.0
9,0.011624838829040527,0.0
10,0.008435143470764161,0.0
11,0.011512956619262696,0.0
12,0.004824482917785645,0.0
13,3.7505799531936646E-4,0.0
14,0.00991086483001709,0.0
15,0.009978404998779297,0.0
16,0.010768789291381836,0.0
17,0.009243027687072754,0.0
18,0.0030884850025177,0.0
19,0.009433086395263673,0.0
20,0.008385994911193849,0.0
21,0.009524502754211427,0.0
22,0.012479535102844238,0.0
23,0.007276373863220215,0.0
24,0.002682435989379883,0.0
25,0.005533305168151856,0.0
26,0.005505406856536866,0.0
27,0.004116765022277832,0.0
28,0.012551735877990723,0.0
29,0.011744738578796387,0.0
30,0.0015674599409103394,0.0
31,0.009765498161315918,0.0
32,0.00839934253692627,0.0
33,0.011901955604553222,0.0
34,0.01395117473602295,0.0
35,0.013942505836486816,0.0
36,0.008573967933654785,0.0
37,3.0457499623298646E-4,0.0
38,0.024440019607543946,0.0
39,0.01306614875793457,0.0
40,0.01436705493927002,0.0
41,0.014018871307373048,0.0
42,0.011637457847595215,0.0
43,0.010681379318237304,0.0
44,0.0024753360748291015,0.0
45,7.36814022064209E-4,0.0
46,0.028891897201538088,0.0
47,0.025997472763061524,0.0
48,0.02249954032897949,0.0
49,0.012808385848999024,0.0
50,0.010569369316101074,0.0
51,0.014720727920532226,0.0
52,0.006335305213928223,0.0
53,0.002632162094116211,0.0
54,0.0026552689075469973,0.0
55,0.027643659591674804,0.0
56,0.0400328369140625,0.0
57,0.031206159591674807,0.0
58,0.027350414276123048,0.0
59,0.02675257682800293,0.0
60,0.020454668045043947,0.0
61,0.010197511672973633,0.0
62,0.007021368980407715,0.0
63,0.006004561901092529,0.0
64,0.029191501617431642,0.0
65,0.03308364486694336,0.0
66,0.026436851501464843,0.0
67,0.025732168197631838,0.0
68,0.024104827880859374,0.0
69,0.022823856353759765,0.0
70,0.01516582202911377,0.0
71,0.007855555057525635,0.0
72,0.004924159049987793,0.0
73,0.0186964054107666,0.0
74,0.022695995330810546,0.0
75,0.026315782546997072,0.0
76,0.015243344306945801,0.0
77,0.018478197097778322,0.0
78,0.010620299339294434,0.0
79,0.011853857040405274,0.0
80,0.004458316802978516,0.0
81,0.0026788949966430665,0.0
82,0.00716563081741333,0.0
83,0.008405891418457032,0.0
84,0.008750054359436035,0.0
85,0.01064776611328125,0.0
86,0.014457618713378906,0.0
87,0.013892637252807618,0.0
88,0.0061739649772644045,0.0
89,8.786479830741882E-4,0.0
90,2.0249100029468537E-4,0.0
91,0.007885480880737305,0.0
92,0.007816417217254639,0.0
93,0.008473247528076173,0.0
94,0.010525349617004395,0.0
95,0.010725199699401855,0.0
96,0.009709900856018066,0.0
97,0.0064132800102233885,0.0
98,4.1496101021766665E-4,0.0
99,1.3646000064909459E-5,0.0
100,0.00830863094329834,0.0
101,0.009312255859375,0.0
102,0.008278650283813476,0.0
103,0.009078939437866211,0.0
104,0.009263027191162109,0.0
105,0.009003743171691895,0.0
106,0.005433463096618653,0.0
107,1.0236900299787522E-4,0.0
108,0.009527146339416504,0.0
109,0.010187707901000976,0.0
110,0.009886878967285156,0.0
111,0.00822426986694336,0.0
112,0.007499595165252686,0.0
113,0.005770153045654297,0.0
114,0.004176027774810791,0.0
115,1.1243999935686589E-5,0.0
116,0.008673283576965332,0.0
117,0.008090354919433594,0.0
118,0.006342288017272949,0.0
119,0.006217325210571289,0.0
120,0.006008926868438721,0.0
121,0.004460195064544678,0.0
122,9.831929802894593E-4,0.0
123,2.5574000552296638E-5,0.0
124,0.007066835880279542,0.0
125,0.008354158401489257,0.0
126,0.009144112586975098,0.0
127,0.009543278694152833,0.0
128,0.005526018142700195,0.0
129,0.0037091829776763918,0.0
130,4.747810065746307E-4,0.0
131,1.0595999658107758E-5,0.0
132,0.008647645950317383,0.0
133,0.00981192684173584,0.0
134,0.009256444931030273,0.0
135,0.009173962593078613,0.0
136,0.0032295260429382323,0.0
137,0.002877752065658569,0.0
138,8.923199772834778E-5,0.0
139,0.007126081943511963,0.0
140,0.014823413848876954,0.0
141,0.010946407318115234,0.0
142,0.0080489559173584,0.0
143,0.003962250947952271,0.0
144,0.0016897059679031373,0.0
145,0.0013801230192184448,0.0
146,0.008326102256774902,0.0
147,0.018236457824707033,0.0
148,0.012359237670898438,0.0
149,0.010211204528808594,0.0
150,0.005251973152160644,0.0
151,0.0018240920305252076,0.0
152,0.00977976131439209,0.0
153,0.01466987133026123,0.0
154,0.011154244422912598,0.0
155,0.010714781761169434,0.0
156,0.006241958141326905,0.0
157,0.003488753080368042,0.0
158,0.00977835178375244,0.0
159,0.01579408836364746,0.0
160,0.014246758460998536,0.0
161,0.010228145599365234,0.0
162,0.007370879173278809,0.0
163,0.006490387916564941,0.0
164,0.010076885223388673,0.0
165,0.015464820861816407,0.0
166,0.014192356109619142,0.0
167,0.011791911125183106,0.0
168,0.008122316360473633,0.0
169,0.006480692863464355,0.0
170,0.009995022773742677,0.0
171,0.013858957290649414,0.0
172,0.011175474166870118,0.0
173,0.010102810859680176,0.0
174,0.00783388376235962,0.0
175,0.006715953826904297,0.0
176,0.010093910217285156,0.0
177,0.01282402801513672,0.0
178,0.011271313667297363,0.0
179,0.01017667293548584,0.0
180,0.008523716926574706,0.0
181,0.007768511772155762,0.0
182,0.010226232528686523,0.0
183,0.011836700439453125,0.0
184,0.010872820854187011,0.0
185,0.00908425521850586,0.0
186,0.008254673957824707,0.0
187,0.007355821132659912,0.0
188,0.007514616012573242,0.0
189,0.007917315006256104,0.0
190,0.005516194820404053,0.0
191,0.007934555053710938,0.0
192,0.01353243923187256,0.0
193,0.013296038627624513,0.0
194,0.010687739372253419,0.0
195,0.007682233810424805,0.0
196,0.010864226341247559,0.0
197,0.00860221290588379,0.0
198,0.008899689674377442,0.0
199,0.008220192909240722,0.0
