Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Normalized Slip Rate,Unnormlized Slip Rate,Rupture Rate Minimization,Normalized MFD Equality
6490348,31001,222415,0,694,2.14420902E9,2.14420902E9,0.0,0.0,2.65967328E8,1.13782208E9,0.0,7.4041958E8
13550604,61939,349202,0,309,2.1102167E9,2.1102167E9,0.0,0.0,2.65199456E8,1.10443904E9,0.0,7.4057818E8
20130474,92943,417303,0,216,2.10461619E9,2.10461619E9,0.0,0.0,2.6443272E8,1.09752435E9,0.0,7.4265914E8
27171786,123935,473069,1,187,2.10171008E9,2.10171008E9,0.0,0.0,2.64412672E8,1.09425702E9,0.0,7.4304038E8
34618411,154871,517195,1,167,2.09993933E9,2.09993933E9,0.0,0.0,2.64449904E8,1.09239411E9,0.0,7.4309536E8
40813590,185837,557632,1,151,2.09853414E9,2.09853414E9,0.0,0.0,2.64521328E8,1.09066931E9,0.0,7.4334355E8
47652875,216774,595733,1,142,2.09738355E9,2.09738355E9,0.0,0.0,2.64511728E8,1.08919795E9,0.0,7.4367386E8
55385756,247779,632202,2,130,2.0965417E9,2.0965417E9,0.0,0.0,2.64436992E8,1.08779021E9,0.0,7.443145E8
62605050,278775,666792,2,130,2.09586573E9,2.09586573E9,0.0,0.0,2.64626688E8,1.0874679E9,0.0,7.4377114E8
68905539,309704,697721,2,118,2.0953248E9,2.0953248E9,0.0,0.0,2.64628512E8,1.08668877E9,0.0,7.4400749E8
76319243,340671,727770,2,112,2.09491174E9,2.09491174E9,0.0,0.0,2.6471032E8,1.08625242E9,0.0,7.4394906E8
83310545,371651,754860,2,108,2.0945705E9,2.0945705E9,0.0,0.0,2.64683616E8,1.08562778E9,0.0,7.4425914E8
89893077,402614,782425,2,105,2.09424768E9,2.09424768E9,0.0,0.0,2.64684528E8,1.08518925E9,0.0,7.4437382E8
96646461,433635,807913,3,101,2.09396646E9,2.09396646E9,0.0,0.0,2.6474744E8,1.08496678E9,0.0,7.4425229E8
102874935,464635,830805,4,102,2.09374656E9,2.09374656E9,0.0,0.0,2.64669616E8,1.08453926E9,0.0,7.4453754E8
109546337,495603,853224,4,97,2.09357645E9,2.09357645E9,0.0,0.0,2.64699888E8,1.08441408E9,0.0,7.4446253E8
115847685,526515,875067,4,93,2.09344896E9,2.09344896E9,0.0,0.0,2.64696272E8,1.08434445E9,0.0,7.4440826E8
122379194,557510,897043,4,94,2.09334464E9,2.09334464E9,0.0,0.0,2.64663184E8,1.08405594E9,0.0,7.4462554E8
129814195,588467,919793,4,92,2.09325619E9,2.09325619E9,0.0,0.0,2.64645712E8,1.08390374E9,0.0,7.4470675E8
137070500,619475,942234,4,93,2.09317069E9,2.09317069E9,0.0,0.0,2.64663024E8,1.08391526E9,0.0,7.4459245E8
144107986,650483,962706,4,93,2.09309722E9,2.09309722E9,0.0,0.0,2.64630656E8,1.08381478E9,0.0,7.4465171E8
150739506,681423,982892,4,93,2.09302707E9,2.09302707E9,0.0,0.0,2.64641648E8,1.08389414E9,0.0,7.444912E8
158667588,712307,1004338,4,90,2.09296026E9,2.09296026E9,0.0,0.0,2.64602016E8,1.08368704E9,0.0,7.4467117E8
165728347,743287,1024615,4,90,2.09291098E9,2.09291098E9,0.0,0.0,2.64616496E8,1.08363968E9,0.0,7.4465478E8
173067907,774263,1045289,4,90,2.09286528E9,2.09286528E9,0.0,0.0,2.64617552E8,1.08351731E9,0.0,7.4473037E8
180477769,805239,1064673,4,88,2.09282637E9,2.09282637E9,0.0,0.0,2.64617712E8,1.08341389E9,0.0,7.4479482E8
187163342,836215,1083357,4,87,2.09279488E9,2.09279488E9,0.0,0.0,2.64607712E8,1.08340877E9,0.0,7.4477843E8
194262461,867227,1101475,4,86,2.0927639E9,2.0927639E9,0.0,0.0,2.64661648E8,1.0833097E9,0.0,7.4479251E8
201069270,898127,1120068,4,83,2.09273562E9,2.09273562E9,0.0,0.0,2.64652256E8,1.08327526E9,0.0,7.4480806E8
207952466,929091,1138594,4,84,2.09271027E9,2.09271027E9,0.0,0.0,2.64669472E8,1.08331674E9,0.0,7.4472403E8
215168676,960035,1155847,4,83,2.09268467E9,2.09268467E9,0.0,0.0,2.64683168E8,1.0832713E9,0.0,7.4473018E8
222912349,991043,1172427,4,83,2.09266099E9,2.09266099E9,0.0,0.0,2.64684192E8,1.08318298E9,0.0,7.4479379E8
229658246,1022059,1190422,4,81,2.09263411E9,2.09263411E9,0.0,0.0,2.64696448E8,1.08317107E9,0.0,7.4476646E8
237200554,1053074,1207938,4,80,2.09261261E9,2.09261261E9,0.0,0.0,2.64713824E8,1.08320678E9,0.0,7.4469197E8
243713924,1084063,1225202,4,81,2.09259238E9,2.09259238E9,0.0,0.0,2.64714256E8,1.08307763E9,0.0,7.4480045E8
251088513,1115030,1243399,4,79,2.09257216E9,2.09257216E9,0.0,0.0,2.64721088E8,1.08304218E9,0.0,7.4480896E8
256953500,1145947,1258401,5,80,2.09256026E9,2.09256026E9,0.0,0.0,2.6472488E8,1.08300134E9,0.0,7.4483405E8
264686058,1176887,1274042,5,80,2.09254976E9,2.09254976E9,0.0,0.0,2.64730448E8,1.08299904E9,0.0,7.4482035E8
271293944,1207783,1289820,5,75,2.09254093E9,2.09254093E9,0.0,0.0,2.64733536E8,1.08295462E9,0.0,7.4485267E8
277653668,1238699,1303915,5,76,2.09253222E9,2.09253222E9,0.0,0.0,2.64742032E8,1.08294528E9,0.0,7.4484499E8
283941783,1269651,1318714,5,76,2.09252416E9,2.09252416E9,0.0,0.0,2.64746112E8,1.08291072E9,0.0,7.4486733E8
290595085,1300615,1334068,5,75,2.09251661E9,2.09251661E9,0.0,0.0,2.64752688E8,1.08296E9,0.0,7.4480397E8
297481000,1331607,1348818,5,77,2.09250957E9,2.09250957E9,0.0,0.0,2.64754048E8,1.08291392E9,0.0,7.4484154E8
304204320,1362567,1363086,5,77,2.09250317E9,2.09250317E9,0.0,0.0,2.64760272E8,1.08294451E9,0.0,7.447984E8
312189133,1393531,1378353,5,77,2.09249651E9,2.09249651E9,0.0,0.0,2.64763408E8,1.08287795E9,0.0,7.4485504E8
318194509,1424527,1392598,6,76,2.09249024E9,2.09249024E9,0.0,0.0,2.64768368E8,1.08287104E9,0.0,7.4485088E8
324922831,1455523,1407499,7,76,2.09248474E9,2.09248474E9,0.0,0.0,2.64772704E8,1.08284902E9,0.0,7.4486298E8
332314290,1486527,1421739,7,76,2.09247974E9,2.09247974E9,0.0,0.0,2.647768E8,1.08286746E9,0.0,7.4483546E8
339416148,1517482,1435544,7,73,2.09247501E9,2.09247501E9,0.0,0.0,2.64780672E8,1.0828439E9,0.0,7.448505E8
346212794,1548435,1449448,7,76,2.0924704E9,2.0924704E9,0.0,0.0,2.647872E8,1.08284083E9,0.0,7.4484243E8
352958156,1579343,1462497,7,75,2.09246618E9,2.09246618E9,0.0,0.0,2.64792896E8,1.08284262E9,0.0,7.4483059E8
359697320,1610323,1476199,7,75,2.09246208E9,2.09246208E9,0.0,0.0,2.64793952E8,1.08280614E9,0.0,7.4486195E8
366528915,1641371,1489478,7,74,2.09245811E9,2.09245811E9,0.0,0.0,2.64802192E8,1.08282995E9,0.0,7.4482598E8
373019455,1672391,1502298,7,73,2.0924544E9,2.0924544E9,0.0,0.0,2.64808896E8,1.08282406E9,0.0,7.4482144E8
379751519,1703335,1515316,7,72,2.09245094E9,2.09245094E9,0.0,0.0,2.64811152E8,1.08278566E9,0.0,7.4485408E8
386397161,1734271,1527647,7,72,2.0924489E9,2.0924489E9,0.0,0.0,2.64812224E8,1.08278349E9,0.0,7.4485318E8
393105541,1765263,1540973,7,72,2.0924471E9,2.0924471E9,0.0,0.0,2.64812496E8,1.0827799E9,0.0,7.4485472E8
399793067,1796223,1553554,7,73,2.0924457E9,2.0924457E9,0.0,0.0,2.64812224E8,1.08275712E9,0.0,7.4487629E8
406765978,1827211,1566400,7,73,2.09244403E9,2.09244403E9,0.0,0.0,2.6481632E8,1.0827744E9,0.0,7.4485338E8
413216419,1858223,1578756,7,72,2.09244275E9,2.09244275E9,0.0,0.0,2.64817136E8,1.08276186E9,0.0,7.4486368E8
419891020,1889211,1590955,8,74,2.09244134E9,2.09244134E9,0.0,0.0,2.64819648E8,1.08277696E9,0.0,7.4484467E8
426794155,1920219,1604427,8,74,2.09244019E9,2.09244019E9,0.0,0.0,2.6481976E8,1.08275942E9,0.0,7.4486099E8
433587360,1951203,1616979,8,74,2.09243904E9,2.09243904E9,0.0,0.0,2.64820688E8,1.08276672E9,0.0,7.4485165E8
440375097,1982211,1629873,9,73,2.09243802E9,2.09243802E9,0.0,0.0,2.64821936E8,1.08277082E9,0.0,7.4484518E8
446920418,2013175,1642964,9,74,2.09243686E9,2.09243686E9,0.0,0.0,2.64825872E8,1.08277786E9,0.0,7.4483322E8
453531427,2044188,1654666,9,74,2.09243597E9,2.09243597E9,0.0,0.0,2.64825504E8,1.08276621E9,0.0,7.4484422E8
459453928,2075187,1666336,9,74,2.09243507E9,2.09243507E9,0.0,0.0,2.64826672E8,1.0827648E9,0.0,7.4484365E8
466188501,2106135,1678594,9,73,2.0924343E9,2.0924343E9,0.0,0.0,2.64827616E8,1.08275482E9,0.0,7.448519E8
473738449,2137143,1690497,9,72,2.09243354E9,2.09243354E9,0.0,0.0,2.64829264E8,1.08276019E9,0.0,7.4484416E8
481577476,2168139,1702717,9,73,2.0924329E9,2.0924329E9,0.0,0.0,2.64832896E8,1.08277325E9,0.0,7.4482669E8
488365338,2199123,1715226,9,72,2.09243213E9,2.09243213E9,0.0,0.0,2.64831744E8,1.08275046E9,0.0,7.4484998E8
494925359,2230071,1727468,9,73,2.09243149E9,2.09243149E9,0.0,0.0,2.64834224E8,1.08276634E9,0.0,7.4483098E8
502770376,2261053,1739453,9,72,2.09243098E9,2.09243098E9,0.0,0.0,2.64834E8,1.08275277E9,0.0,7.448441E8
509996602,2292067,1752035,9,72,2.09243034E9,2.09243034E9,0.0,0.0,2.64835952E8,1.08276685E9,0.0,7.4482758E8
517353908,2323087,1764475,9,72,2.0924297E9,2.0924297E9,0.0,0.0,2.64836208E8,1.08275379E9,0.0,7.4483968E8
523907839,2354071,1776646,9,72,2.09242918E9,2.09242918E9,0.0,0.0,2.64837744E8,1.08275507E9,0.0,7.4483635E8
531058856,2385003,1789050,9,72,2.09242867E9,2.09242867E9,0.0,0.0,2.64839488E8,1.08275904E9,0.0,7.4483014E8
537386291,2416027,1799743,9,72,2.09242829E9,2.09242829E9,0.0,0.0,2.64840128E8,1.08275418E9,0.0,7.4483392E8
543577636,2447003,1811364,9,72,2.09242778E9,2.09242778E9,0.0,0.0,2.64841088E8,1.08275558E9,0.0,7.4483117E8
550798349,2477991,1822722,9,72,2.09242739E9,2.09242739E9,0.0,0.0,2.64842272E8,1.08275674E9,0.0,7.4482829E8
557890961,2508891,1834628,9,72,2.09242688E9,2.09242688E9,0.0,0.0,2.64843328E8,1.08275661E9,0.0,7.4482694E8
565346572,2539898,1846774,9,72,2.0924265E9,2.0924265E9,0.0,0.0,2.64845136E8,1.0827657E9,0.0,7.4481568E8
572401029,2570867,1858075,9,72,2.09242611E9,2.09242611E9,0.0,0.0,2.64846304E8,1.08276467E9,0.0,7.4481523E8
579605181,2601779,1868789,10,72,2.09242573E9,2.09242573E9,0.0,0.0,2.64846048E8,1.08275866E9,0.0,7.4482106E8
586556305,2632770,1879565,10,72,2.09242547E9,2.09242547E9,0.0,0.0,2.64846992E8,1.08275238E9,0.0,7.4482605E8
592878076,2663771,1890189,10,72,2.09242509E9,2.09242509E9,0.0,0.0,2.64848032E8,1.08275546E9,0.0,7.4482157E8
600858422,2694719,1901338,10,72,2.09242483E9,2.09242483E9,0.0,0.0,2.64848848E8,1.08275712E9,0.0,7.4481882E8
607313027,2725683,1912058,10,72,2.09242445E9,2.09242445E9,0.0,0.0,2.64849392E8,1.08275136E9,0.0,7.4482374E8
613433560,2756723,1922387,11,72,2.09242419E9,2.09242419E9,0.0,0.0,2.64850448E8,1.08275469E9,0.0,7.4481907E8
620566720,2787702,1933296,12,71,2.09242394E9,2.09242394E9,0.0,0.0,2.6485112E8,1.08274995E9,0.0,7.4482278E8
628129415,2818607,1944425,13,71,2.09242368E9,2.09242368E9,0.0,0.0,2.64851168E8,1.08274726E9,0.0,7.4482534E8
635518850,2849606,1954806,13,70,2.09242355E9,2.09242355E9,0.0,0.0,2.64851424E8,1.08274624E9,0.0,7.4482598E8
642094283,2880531,1964597,13,70,2.09242342E9,2.09242342E9,0.0,0.0,2.6485216E8,1.08274867E9,0.0,7.4482272E8
648757204,2911547,1974547,13,70,2.09242342E9,2.09242342E9,0.0,0.0,2.64852144E8,1.08274458E9,0.0,7.4482669E8
655941930,2942539,1984364,13,70,2.0924233E9,2.0924233E9,0.0,0.0,2.64852752E8,1.08274803E9,0.0,7.4482253E8
662859269,2973491,1993973,13,70,2.09242317E9,2.09242317E9,0.0,0.0,2.64853312E8,1.0827447E9,0.0,7.4482522E8
669834172,3004427,2002654,13,70,2.09242317E9,2.09242317E9,0.0,0.0,2.64853616E8,1.08274624E9,0.0,7.448233E8
677834416,3035423,2012272,14,70,2.09242304E9,2.09242304E9,0.0,0.0,2.64853984E8,1.08274701E9,0.0,7.4482202E8
685252492,3066435,2021498,15,69,2.09242291E9,2.09242291E9,0.0,0.0,2.64854176E8,1.08274637E9,0.0,7.448224E8
692190139,3097399,2030725,15,69,2.09242291E9,2.09242291E9,0.0,0.0,2.64854224E8,1.0827447E9,0.0,7.44824E8
698695769,3128315,2040121,16,69,2.09242278E9,2.09242278E9,0.0,0.0,2.64854368E8,1.08274291E9,0.0,7.4482554E8
704729068,3159283,2048536,16,69,2.09242278E9,2.09242278E9,0.0,0.0,2.64854912E8,1.08274573E9,0.0,7.4482221E8
712324208,3190279,2057749,16,69,2.09242278E9,2.09242278E9,0.0,0.0,2.64854768E8,1.08274586E9,0.0,7.4482208E8
719898454,3221251,2066730,16,69,2.09242266E9,2.09242266E9,0.0,0.0,2.6485496E8,1.08274048E9,0.0,7.448272E8
726903406,3252211,2075513,16,69,2.09242266E9,2.09242266E9,0.0,0.0,2.64855104E8,1.0827415E9,0.0,7.4482605E8
733976668,3283163,2084560,16,69,2.09242266E9,2.09242266E9,0.0,0.0,2.64855216E8,1.0827415E9,0.0,7.4482586E8
740624347,3314027,2093024,16,69,2.09242266E9,2.09242266E9,0.0,0.0,2.64855488E8,1.08274112E9,0.0,7.4482598E8
747595029,3344999,2100717,16,69,2.09242253E9,2.09242253E9,0.0,0.0,2.64855824E8,1.0827424E9,0.0,7.4482432E8
754128313,3375987,2108673,16,69,2.09242253E9,2.09242253E9,0.0,0.0,2.64855808E8,1.08274304E9,0.0,7.4482374E8
761658689,3406975,2117204,16,69,2.09242253E9,2.09242253E9,0.0,0.0,2.6485624E8,1.08274202E9,0.0,7.4482426E8
769456897,3437915,2125550,16,69,2.09242253E9,2.09242253E9,0.0,0.0,2.64856048E8,1.08273971E9,0.0,7.4482669E8
776802706,3468923,2133389,16,69,2.0924224E9,2.0924224E9,0.0,0.0,2.64856864E8,1.08274291E9,0.0,7.4482266E8
783626053,3499843,2141387,17,69,2.0924224E9,2.0924224E9,0.0,0.0,2.64856736E8,1.08274099E9,0.0,7.4482477E8
790333885,3530859,2149373,18,69,2.0924224E9,2.0924224E9,0.0,0.0,2.64857152E8,1.08274189E9,0.0,7.4482336E8
797771356,3561855,2157900,18,69,2.0924224E9,2.0924224E9,0.0,0.0,2.64857152E8,1.08274163E9,0.0,7.4482362E8
804221722,3592857,2165807,18,69,2.09242227E9,2.09242227E9,0.0,0.0,2.64857216E8,1.08274074E9,0.0,7.4482438E8
811332571,3623807,2174859,18,69,2.09242227E9,2.09242227E9,0.0,0.0,2.64857536E8,1.08274074E9,0.0,7.4482406E8
