Section Index,Section Area (m^2)
0,8.991583027080439E8
1,9.000913026870127E8
2,8.997872097567065E8
3,8.994398367225808E8
4,9.004311119277939E8
5,9.000876302101792E8
6,9.00008953360623E8
7,8.999123378657881E8
8,8.997614281538029E8
9,9.004307831606396E8
10,8.999507508379836E8
11,8.999410703714432E8
12,9.000217067957461E8
13,8.999800071635947E8
14,9.006746342776612E8
15,8.999340279610158E8
16,8.997221703365533E8
17,8.998978536862419E8
18,9.000038779943639E8
19,8.998678076322E8
20,8.999171821876472E8
21,8.995087809452655E8
22,8.994933288522954E8
23,8.997407387421931E8
24,8.998938128624393E8
25,8.981291234121468E8
26,8.985956986558607E8
27,8.990196128206412E8
28,8.994439202435335E8
29,8.99665016991135E8
30,8.998175671722127E8
31,8.978042646850976E8
32,8.979360414958972E8
33,8.983609502240252E8
34,8.991639241907177E8
35,8.998019215922952E8
36,9.000913671892495E8
37,9.002453712857584E8
38,8.977138333552259E8
39,8.982472170891804E8
40,8.991361811050494E8
41,8.998351020398898E8
42,8.99962157837097E8
43,9.000192760433542E8
44,9.00241850330625E8
45,9.00593179679803E8
46,8.977186959075247E8
47,8.979578939152598E8
48,8.995207074929003E8
49,9.005316648572643E8
50,9.003748111967216E8
51,8.998286778567326E8
52,8.99594464710999E8
53,8.998270138972042E8
54,9.0052948766743E8
55,8.982667541336869E8
56,8.983879888628595E8
57,8.988176049880756E8
58,8.99712844978975E8
59,8.99840737343812E8
60,8.9960391557312E8
61,8.993782778309908E8
62,8.992303153542308E8
63,8.994421975892031E8
64,8.976056376102346E8
65,8.98240432542368E8
66,8.988663868790824E8
67,8.988102503057309E8
68,8.988173925125669E8
69,8.990634622825408E8
70,8.992725427630781E8
71,8.992876912573574E8
72,8.990914788715945E8
73,8.98308703793592E8
74,8.986955884138799E8
75,8.996226224853667E8
76,8.998933967048331E8
77,8.995965137081832E8
78,8.99385511694635E8
79,8.994757561732724E8
80,8.995806789063693E8
81,8.99288719657799E8
82,8.99318603694896E8
83,8.996322949275578E8
84,8.99928998473366E8
85,8.999245090694373E8
86,8.997839182807816E8
87,8.997216301326075E8
88,8.997370524083117E8
89,8.997653897911897E8
90,8.995062632606399E8
91,8.99224511593388E8
92,8.995174726686989E8
93,8.995528820970664E8
94,8.993399788057212E8
95,8.993797991218457E8
96,8.995713219803457E8
97,8.997121015699242E8
98,8.997478219602408E8
99,8.995761664642432E8
100,8.987703234800919E8
101,8.990007389109585E8
102,8.988707907537743E8
103,8.987771872351727E8
104,8.990466647776197E8
105,8.993949853229111E8
106,8.995835582376233E8
107,8.995579756317817E8
108,8.983311193266674E8
109,8.984608749434905E8
110,8.983937455750804E8
111,8.984691240480801E8
112,8.987650073760574E8
113,8.991392830917372E8
114,8.993659131947968E8
115,8.993516269144903E8
116,8.982515658344258E8
117,8.985417993633127E8
118,8.984599733505869E8
119,8.984640555411505E8
120,8.98657114981516E8
121,8.988739350121726E8
122,8.990716213834517E8
123,8.99182991963703E8
124,8.987275369877138E8
125,8.991009812880045E8
126,8.990779479473171E8
127,8.989400688459506E8
128,8.990040613121355E8
129,8.990383370231299E8
130,8.989919412336876E8
131,8.990798997500873E8
132,8.989108330139117E8
133,8.991539906189439E8
134,8.991803189687381E8
135,8.990430020230675E8
136,8.990028186551633E8
137,8.990903550058323E8
138,8.990636831131239E8
139,8.987279814712396E8
140,8.987724744263263E8
141,8.986624181798594E8
142,8.985732835686009E8
143,8.987319199260597E8
144,8.990374641656313E8
145,8.992463625019946E8
146,8.980567410798272E8
147,8.982637272669411E8
148,8.98268377491617E8
149,8.982741463874334E8
150,8.984153821815116E8
151,8.987545129967076E8
152,8.978158653667501E8
153,8.979841420350336E8
154,8.980937715154103E8
155,8.981686018531456E8
156,8.984865644128621E8
157,8.988512227208691E8
