Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Normalized Slip Rate,Unnormlized Slip Rate,Rupture Rate Minimization,Normalized MFD Equality
6346278,31008,248886,1,887,1.03148205E9,1.03148205E9,0.0,0.0,6.4929372E7,2.07949792E8,0.0,7.5860288E8
13670552,62032,409452,5,365,9.9941491E8,9.9941491E8,0.0,0.0,6.0979132E7,1.85983168E8,0.0,7.5245261E8
20054818,93056,494618,6,263,9.9481306E8,9.9481306E8,0.0,0.0,6.0570604E7,1.82462512E8,0.0,7.5177997E8
26989147,124031,560494,6,225,9.9272141E8,9.9272141E8,0.0,0.0,6.0104176E7,1.80721664E8,0.0,7.5189562E8
33590823,155031,619415,8,203,9.9140787E8,9.9140787E8,0.0,0.0,6.0032468E7,1.79479488E8,0.0,7.5189587E8
40753308,186023,672884,8,191,9.9059245E8,9.9059245E8,0.0,0.0,5.9928512E7,1.78960944E8,0.0,7.5170298E8
47367506,217023,724254,8,184,9.8994944E8,9.8994944E8,0.0,0.0,5.9889188E7,1.78636816E8,0.0,7.5142342E8
53729137,247967,770895,9,179,9.8942566E8,9.8942566E8,0.0,0.0,5.9851616E7,1.78053888E8,0.0,7.5152019E8
60609173,278947,817439,11,166,9.8899162E8,9.8899162E8,0.0,0.0,5.990206E7,1.77849152E8,0.0,7.5124038E8
68146129,309895,860693,11,161,9.8865011E8,9.8865011E8,0.0,0.0,5.9870876E7,1.77653712E8,0.0,7.511255E8
74809049,340823,901415,15,161,9.8838861E8,9.8838861E8,0.0,0.0,5.987596E7,1.77338688E8,0.0,7.5117395E8
81499615,371839,942248,16,158,9.881703E8,9.881703E8,0.0,0.0,5.9868856E7,1.772568E8,0.0,7.5104467E8
87745307,402847,981734,16,155,9.8798483E8,9.8798483E8,0.0,0.0,5.9864588E7,1.7699408E8,0.0,7.5112614E8
94007425,433835,1018867,16,158,9.8780992E8,9.8780992E8,0.0,0.0,5.9896164E7,1.76981136E8,0.0,7.5093261E8
100610348,464815,1053905,17,151,9.8765402E8,9.8765402E8,0.0,0.0,5.9845724E7,1.76760816E8,0.0,7.5104749E8
107061339,495831,1088316,18,144,9.8753139E8,9.8753139E8,0.0,0.0,5.9827588E7,1.7663136E8,0.0,7.5107245E8
114209914,526747,1123297,18,143,9.8742579E8,9.8742579E8,0.0,0.0,5.9805688E7,1.76443088E8,0.0,7.5117702E8
121415784,557735,1156661,18,138,9.8733152E8,9.8733152E8,0.0,0.0,5.9839056E7,1.76366608E8,0.0,7.5112582E8
127232181,588737,1187260,18,138,9.8725376E8,9.8725376E8,0.0,0.0,5.9843928E7,1.76351168E8,0.0,7.5105862E8
135140982,619691,1221006,19,136,9.8720134E8,9.8720134E8,0.0,0.0,5.9831156E7,1.76179504E8,0.0,7.5119066E8
141181562,650707,1249421,20,132,9.8717242E8,9.8717242E8,0.0,0.0,5.9821968E7,1.76202192E8,0.0,7.5114822E8
149224214,681715,1279320,20,127,9.8714477E8,9.8714477E8,0.0,0.0,5.9801536E7,1.76056704E8,0.0,7.5128653E8
