Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Normalized Slip Rate,Unnormlized Slip Rate,Rupture Rate Minimization,Normalized MFD Equality
6464499,31132,446129,15,1382,7.4818726E8,7.4818726E8,0.0,0.0,9585398.0,2.8953574E7,0.0,7.0964832E8
14116433,62140,747410,15,652,7.3729363E8,7.3729363E8,0.0,0.0,8157770.5,2.269678E7,0.0,7.064391E8
21077133,93152,911822,15,499,7.3521363E8,7.3521363E8,0.0,0.0,8056680.5,2.1699738E7,0.0,7.0545722E8
28011996,124116,1039536,18,414,7.3425754E8,7.3425754E8,0.0,0.0,7999538.0,2.1220544E7,0.0,7.0503744E8
34719338,154992,1150409,22,360,7.33712E8,7.33712E8,0.0,0.0,7963086.0,2.0953652E7,0.0,7.0479526E8
41713833,186000,1255235,22,329,7.333929E8,7.333929E8,0.0,0.0,7939960.0,2.0757852E7,0.0,7.046951E8
48092674,217020,1346654,23,319,7.3319117E8,7.3319117E8,0.0,0.0,7941308.0,2.0680766E7,0.0,7.0456909E8
55105223,247991,1440182,24,305,7.3303085E8,7.3303085E8,0.0,0.0,7949915.0,2.0626836E7,0.0,7.0445414E8
61521405,278991,1521921,26,302,7.3291328E8,7.3291328E8,0.0,0.0,7935879.0,2.0611622E7,0.0,7.0436576E8
68005940,309951,1598764,29,296,7.3281997E8,7.3281997E8,0.0,0.0,7942483.5,2.0598862E7,0.0,7.0427866E8
76295234,340851,1675648,30,276,7.3274195E8,7.3274195E8,0.0,0.0,7937863.5,2.0562534E7,0.0,7.042416E8
83644881,371811,1751348,31,271,7.3267731E8,7.3267731E8,0.0,0.0,7933266.5,2.0549748E7,0.0,7.041943E8
90894443,402783,1823913,31,272,7.3262336E8,7.3262336E8,0.0,0.0,7934491.5,2.0538098E7,0.0,7.0415078E8
98178885,433743,1898387,31,259,7.3257427E8,7.3257427E8,0.0,0.0,7929946.5,2.0519252E7,0.0,7.0412506E8
104959077,464771,1965823,32,256,7.3253235E8,7.3253235E8,0.0,0.0,7933776.5,2.0500446E7,0.0,7.0409811E8
112195134,495783,2034221,33,251,7.3249062E8,7.3249062E8,0.0,0.0,7944568.5,2.051224E7,0.0,7.0403386E8
119377448,526751,2102394,34,247,7.3245606E8,7.3245606E8,0.0,0.0,7936394.0,2.0489564E7,0.0,7.0403008E8
126938720,557679,2165453,35,242,7.3242688E8,7.3242688E8,0.0,0.0,7938491.5,2.0486576E7,0.0,7.0400179E8
134031208,588683,2227107,36,243,7.3240211E8,7.3240211E8,0.0,0.0,7938285.5,2.0477768E7,0.0,7.0398605E8
141399685,619631,2288227,38,239,7.3238118E8,7.3238118E8,0.0,0.0,7940409.0,2.0475728E7,0.0,7.0396499E8
148124631,650561,2345763,40,237,7.3236237E8,7.3236237E8,0.0,0.0,7940903.5,2.047033E7,0.0,7.0395117E8
155825995,681583,2405176,42,238,7.3234259E8,7.3234259E8,0.0,0.0,7940883.0,2.0461968E7,0.0,7.0393971E8
163337423,712591,2463887,43,235,7.323239E8,7.323239E8,0.0,0.0,7938131.5,2.0457698E7,0.0,7.0392813E8
170014176,743579,2518975,44,227,7.3230669E8,7.3230669E8,0.0,0.0,7940582.5,2.044765E7,0.0,7.0391846E8
177705999,774595,2576636,47,233,7.3229235E8,7.3229235E8,0.0,0.0,7942436.0,2.0435158E7,0.0,7.0391475E8
184713643,805587,2631314,49,222,7.3227987E8,7.3227987E8,0.0,0.0,7940932.0,2.0422168E7,0.0,7.039168E8
192023510,836583,2685480,50,226,7.3226726E8,7.3226726E8,0.0,0.0,7943343.0,2.0421316E7,0.0,7.0390259E8
199211726,867615,2736987,50,222,7.3225568E8,7.3225568E8,0.0,0.0,7944271.0,2.0411686E7,0.0,7.0389971E8
206262773,898467,2785627,53,217,7.3224896E8,7.3224896E8,0.0,0.0,7938833.5,2.0402474E7,0.0,7.0390765E8
212840632,929375,2837908,54,224,7.322423E8,7.322423E8,0.0,0.0,7941083.5,2.0395454E7,0.0,7.0390573E8
220415972,960379,2890916,59,219,7.3223616E8,7.3223616E8,0.0,0.0,7942050.0,2.0388704E7,0.0,7.0390541E8
228110037,991303,2943162,60,224,7.3223027E8,7.3223027E8,0.0,0.0,7941817.0,2.0391088E7,0.0,7.0389734E8
235598217,1022323,2993023,62,221,7.3222547E8,7.3222547E8,0.0,0.0,7938221.5,2.0377424E7,0.0,7.0390982E8
243286607,1053327,3045738,66,217,7.3222048E8,7.3222048E8,0.0,0.0,7940648.0,2.0374926E7,0.0,7.039049E8
250965436,1084347,3095771,69,217,7.3221594E8,7.3221594E8,0.0,0.0,7939330.5,2.0369734E7,0.0,7.0390688E8
259374470,1115271,3145550,70,215,7.3221152E8,7.3221152E8,0.0,0.0,7937586.0,2.0359024E7,0.0,7.0391494E8
267285114,1146267,3199941,71,217,7.3220717E8,7.3220717E8,0.0,0.0,7937711.0,2.0354832E7,0.0,7.0391462E8
274522032,1177291,3251307,71,216,7.3220346E8,7.3220346E8,0.0,0.0,7939395.5,2.035342E7,0.0,7.0391066E8
281595950,1208303,3302272,73,216,7.3219974E8,7.3219974E8,0.0,0.0,7939039.5,2.0344766E7,0.0,7.039159E8
289813211,1239323,3355986,75,217,7.3219635E8,7.3219635E8,0.0,0.0,7938161.0,2.0337886E7,0.0,7.0392032E8
298046994,1270332,3408157,77,221,7.3219315E8,7.3219315E8,0.0,0.0,7939751.5,2.0335424E7,0.0,7.0391802E8
304815127,1301299,3456163,78,215,7.3219053E8,7.3219053E8,0.0,0.0,7941251.5,2.0332114E7,0.0,7.0391718E8
312281422,1332267,3508962,81,216,7.3218771E8,7.3218771E8,0.0,0.0,7939939.0,2.0327542E7,0.0,7.0392026E8
318904966,1363259,3555808,82,220,7.3218534E8,7.3218534E8,0.0,0.0,7939902.0,2.0321498E7,0.0,7.0392397E8
327094907,1394271,3608368,82,216,7.3218298E8,7.3218298E8,0.0,0.0,7942938.5,2.0317898E7,0.0,7.0392218E8
334013236,1425263,3657649,82,217,7.3218093E8,7.3218093E8,0.0,0.0,7943375.0,2.031229E7,0.0,7.0392531E8
340820253,1456275,3704623,84,215,7.3217914E8,7.3217914E8,0.0,0.0,7946077.0,2.0313428E7,0.0,7.0391962E8
348407905,1487267,3752528,88,214,7.3217734E8,7.3217734E8,0.0,0.0,7945065.0,2.0305816E7,0.0,7.0392646E8
355264674,1518255,3799951,88,213,7.3217581E8,7.3217581E8,0.0,0.0,7946308.0,2.0305242E7,0.0,7.0392429E8
362515240,1549207,3848037,89,215,7.3217427E8,7.3217427E8,0.0,0.0,7946640.5,2.0302932E7,0.0,7.0392474E8
369708354,1580179,3896300,90,214,7.321728E8,7.321728E8,0.0,0.0,7947868.0,2.0299342E7,0.0,7.0392563E8
375983758,1611020,3939465,91,218,7.3217152E8,7.3217152E8,0.0,0.0,7947509.5,2.0296362E7,0.0,7.0392762E8
382723357,1642017,3982722,94,215,7.321703E8,7.321703E8,0.0,0.0,7948120.5,2.0296768E7,0.0,7.0392538E8
390103241,1673018,4029775,98,214,7.3216915E8,7.3216915E8,0.0,0.0,7948620.0,2.0295442E7,0.0,7.0392506E8
