fault_id,cfm_rake,model1_rake,model2_rake
103,110,110,110
104,110,110,110
495,90,90,90
496,90,90,90
497,90,90,90
498,90,90,90
499,90,90,90
500,90,90,90
501,90,90,90
502,90,90,90
503,90,90,90
504,90,90,90
557,90,90,90
558,90,90,90
559,90,90,90
560,90,90,90
561,90,90,90
563,90,90,90
714,90,90,90
715,90,90,90
716,90,90,90
717,90,90,90
718,90,90,90
1225,180,-160,160
1226,180,-160,160
1227,180,-160,160
1228,180,-160,160
1365,180,-160,160
1366,180,-160,160
1367,180,-160,160
1368,180,-160,160
1369,180,-160,160
1370,180,-160,160
1371,180,-160,160
1372,-135,-135,160
1373,-135,-135,160
1374,-160,-160,160
1375,-160,-160,160
1397,90,90,90
1398,90,90,90
1399,90,90,90
1400,90,90,90
1401,90,90,90
1428,90,90,90
1429,90,90,90
1430,90,90,90
1431,90,90,90
1432,90,90,90
1433,90,90,90
1434,90,90,90
1435,90,90,90
1436,90,90,90
1437,90,90,90
1438,90,90,90
1439,90,90,90
1440,90,90,90
1441,90,90,90
1442,90,90,90
1443,90,90,90
1444,90,90,90
1445,90,90,90
1446,90,90,90
1465,135,135,135
1466,135,135,135
1467,135,135,135
1468,135,135,135
1469,160,160,160
1470,160,160,160
1473,180,160,160
1486,90,90,90
1487,90,90,90
1488,90,90,90
1489,90,90,90
1490,90,90,90
1504,90,90,90
1505,90,90,90
1506,90,90,90
1507,90,90,90
1508,90,90,90
1509,90,90,90
1510,90,90,90
1511,90,90,90
1512,90,90,90
1513,90,90,90
1514,90,90,90
1515,90,90,90
1516,90,90,90
1517,90,90,90
1518,90,90,90
1519,90,90,90
1520,90,90,90
1521,90,90,90
1527,135,135,135
1528,135,135,135
1529,135,135,135
1530,135,135,135
1531,135,135,135
1532,135,135,135
1533,135,135,135
1534,135,135,135
1601,180,-160,160
1602,180,-160,160
1603,180,-160,160
1604,180,-160,160
1605,180,-160,160
1606,180,-160,160
1607,180,-160,160
1678,90,90,90
1679,90,90,90
1680,90,90,90
1681,90,90,90
1682,90,90,90
1683,90,90,90
1735,90,90,90
1736,90,90,90
1945,90,90,90
1946,90,90,90
1947,90,90,90
1948,90,90,90
1949,90,90,90
1950,90,90,90
1951,90,90,90
1952,90,90,90
1953,90,90,90
1954,90,90,90
1955,90,90,90
1979,90,90,90
1980,90,90,90
2098,160,160,160
2099,160,160,160
2100,160,160,160
2101,160,160,160
2102,160,160,160
2103,160,160,160
2104,160,160,160
2105,160,160,160
2106,160,160,160
2107,160,160,160
2108,160,160,160
2113,180,180,180
2114,180,180,180
2115,180,180,180
2199,-160,-160,-160
2200,-160,-160,-160
2201,160,160,160
2202,160,160,160
2203,180,-160,160
2204,180,-160,160
2205,-160,-160,160
2206,-160,-160,160
2207,-160,-160,160
2209,-160,-160,160
2270,135,135,135
2271,135,135,135
2272,135,135,135
2273,135,135,135
2274,135,135,135
2275,135,135,135
2276,135,135,135
2277,135,135,135
2278,135,135,135
2279,90,90,90
2280,90,90,90
2281,90,90,90
2282,90,90,90
2283,90,90,90
2284,90,90,90
2285,90,90,90
2286,90,90,90
2287,90,90,90
2288,90,90,90
2289,90,90,90
2320,110,110,110
2321,110,110,110
2322,110,110,110
